rank,name,mark,author,publisher,year,price,url,img_url
103,你当像鸟飞往你的山,8.7,塔拉·韦斯特弗,南海出版公司,2019,59,https://book.douban.com/subject/33440205/,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg
104,送你一颗子弹,8.6,刘瑜,上海三联书店,2010,25,https://book.douban.com/subject/4238362/,https://img1.doubanio.com/view/subject/s/public/s4243447.jpg
105,史蒂夫·乔布斯传,8.7,沃尔特·艾萨克森,中信出版社,2011,68,https://book.douban.com/subject/6798611/,https://img2.doubanio.com/view/subject/s/public/s6974202.jpg
106,目送,8.6,龙应台,生活·读书·新知三联书店,2009,39,https://book.douban.com/subject/3995526/,https://img1.doubanio.com/view/subject/s/public/s3984108.jpg
107,孩子你慢慢来,8.7,龙应台,生活·读书·新知三联书店,2009,28,https://book.douban.com/subject/4207781/,https://img9.doubanio.com/view/subject/s/public/s4124434.jpg
108,王尔德童话,9.1,奥斯卡·王尔德,译林出版社,2003,6,https://book.douban.com/subject/1119839/,https://img9.doubanio.com/view/subject/s/public/s2019056.jpg
109,冬牧场,9,李娟,新星出版社,2012,29.8,https://book.douban.com/subject/10522856/,https://img2.doubanio.com/view/subject/s/public/s8958901.jpg
110,情书,8.6,岩井俊二,天津人民出版社,2004,18,https://book.douban.com/subject/1080370/,https://img9.doubanio.com/view/subject/s/public/s1127135.jpg
111,离开的，留下的,8.8,埃莱娜·费兰特,人民文学出版社,2017,62,https://book.douban.com/subject/27104959/,https://img2.doubanio.com/view/subject/s/public/s29535271.jpg
112,叫魂,9,孔飞力,生活·读书·新知三联书店上海三联书店,2012,38,https://book.douban.com/subject/10471333/,https://img2.doubanio.com/view/subject/s/public/s9015481.jpg
113,亲爱的安德烈,8.6,龙应台,人民文学出版社,2008,26,https://book.douban.com/subject/3369793/,https://img1.doubanio.com/view/subject/s/public/s3993878.jpg
114,十万个为什么,9.1,无名,少年儿童出版社,1962,30,https://book.douban.com/subject/2160556/,https://img1.doubanio.com/view/subject/s/public/s2619779.jpg
115,倾城之恋,8.7,张爱玲,北京十月文艺出版社,2006,29.8,https://book.douban.com/subject/1985223/,https://img3.doubanio.com/view/subject/s/public/s4638950.jpg
116,金色梦乡,9,伊坂幸太郎,译林出版社,2010,35,https://book.douban.com/subject/5038409/,https://img9.doubanio.com/view/subject/s/public/s4444885.jpg
